
> magic-deck-builder-web@0.1.0 dev
> vite --host 127.0.0.1 --port 5173


  VITE v5.4.21  ready in 200 ms

  ➜  Local:   http://127.0.0.1:5173/
11:09:36 PM [vite] hmr update /src/components/CouncilLab.tsx
11:09:42 PM [vite] hmr update /src/components/CouncilLab.tsx
11:09:49 PM [vite] hmr update /src/components/CouncilLab.tsx
11:09:56 PM [vite] hmr update /src/components/CouncilLab.tsx
11:10:05 PM [vite] hmr update /src/styles.css
11:10:12 PM [vite] hmr update /src/components/CouncilLab.tsx
11:10:18 PM [vite] hmr update /src/styles.css
11:18:50 PM [vite] hmr update /src/components/CouncilLab.tsx
11:18:55 PM [vite] hmr update /src/styles.css
11:20:59 PM [vite] hmr update /src/components/CouncilLab.tsx
11:22:15 PM [vite] hmr update /src/components/CouncilLab.tsx
11:22:15 PM [vite] hmr update /src/App.tsx
11:22:19 PM [vite] hmr update /src/styles.css
11:29:50 PM [vite] hmr update /src/components/CouncilLab.tsx
11:29:58 PM [vite] hmr update /src/components/CouncilLab.tsx
11:35:53 PM [vite] hmr update /src/App.tsx
11:36:09 PM [vite] hmr update /src/components/CouncilLab.tsx
11:36:41 PM [vite] hmr update /src/App.tsx
11:39:03 PM [vite] hmr update /src/App.tsx
